iteration,hub abs. gap,hub rel. gap,spoke abs. gap,spoke rel. gap
46,inf,inf,-254.4699878335232,-0.0025058435173689253
47,inf,inf,879.2400257801783,0.008658144473421859
48,inf,inf,109.92991229558538,0.0010732212418471168
49,inf,inf,-35.66991547358339,-0.0003478641025262418
50,inf,inf,567.7000645656517,0.005536387480662032
51,inf,inf,-733.2099849364167,-0.007111121742082791
52,inf,inf,358.3099975509249,0.0034751109045670896
53,inf,inf,-657.259974339162,-0.006352436369376459
54,inf,inf,-681.7999988743686,-0.006589616405357769
55,inf,inf,-243.69088266725885,-0.0023552793207853627
56,inf,inf,181.59999834965856,0.0017551691556373236
57,inf,inf,122.58002633647993,0.0011826636705686002
58,inf,inf,224.16997598938178,0.0021602582400488102
59,inf,inf,205.5209552650049,0.0019762740070426977
60,inf,inf,425.2590731695818,0.004081193621009223
61,inf,inf,-961.1500064378342,-0.009186624205502196
62,inf,inf,297.4099967813527,0.002842630033906803
63,inf,inf,-1052.7307636350015,-0.010033427229949266
64,inf,inf,25.32000567120849,0.00024132137402992722
65,inf,inf,-218.71001668015379,-0.0020839911609710268
66,inf,inf,96.97999534901464,0.0009240795468180187
67,inf,inf,174.85998961370206,0.001664625372096232
68,inf,inf,-353.82000572799006,-0.003362684408253111
69,inf,inf,738.1700105349737,0.0070155241220991975
70,27820.629987395907,0.26256360071385604,-593.1300306527119,-0.005597801221979914
71,24002.919987395915,0.22653308362867772,-240.40999930042017,-0.002268924718546333
72,24002.919987395915,0.22653308362867772,-76.61003520114173,-0.0007230248453158719
73,24002.919987395915,0.22653308362867772,59.30529072268109,0.0005597073351891669
74,23943.614696673234,0.225846968088819,327.431279080527,0.0030884794369855787
75,23616.183417592707,0.22207262192549904,284.57342874906317,0.0026759602233422807
76,23331.609988843644,0.21881113181699,-399.270009670945,-0.003744478960451283
77,23331.609988843644,0.21881113181699,-10.480020868795691,-9.828491170833738e-05
78,23331.609988843644,0.21881113181699,55.16889004416589,0.0005173910963462534
79,23276.441098799478,0.21818085588841388,206.12110060818668,0.0019320684788739256
80,23070.31999819129,0.21583178561980484,123.6400102100597,0.0011567002182796
81,22946.67998798123,0.2144270575772206,113.26998016836296,0.0010584602466262479
82,22833.41000781287,0.21314299394465705,-275.0499840615812,-0.0025675086229895584
83,22833.41000781287,0.21314299394465705,37.249991959528415,0.00034771743720940577
84,22796.16001585334,0.21272130959883412,-247.81997114853584,-0.0023125205635861766
85,22796.16001585334,0.21272130959883412,781.8300066199154,0.007295610435099321
86,22014.330009233425,0.20393784807123458,-503.5199795407534,-0.004664542643148513
87,8877.550009233426,0.0822404517543106,130.06001204087806,0.0012048587880989592
88,8747.489997192548,0.08093807401644114,-387.11999229958747,-0.0035819128229977034
89,8747.489997192548,0.08093807401644114,-536.0899959162634,-0.004960290527096336
90,8747.489997192548,0.08093807401644114,-2.867198570223991,-2.6529385020286225e-05
91,8747.489997192548,0.08093807401644114,-665.0599945672584,-0.006153613788976572
92,8747.489997192548,0.08093807401644114,246.0500099966448,0.002276631802636648
93,8501.439987195903,0.07848276585310443,-458.3900199924392,-0.004231720351216949
94,8501.439987195903,0.07848276585310443,234.9399999363668,0.0021688962143242793
95,8266.499987259536,0.07614871098779305,72.60999689163873,0.0006688632040945475
96,8193.889990367898,0.0754293958363165,107.20000375350355,0.0009868367193461161
97,8086.689986614394,0.07436916889032216,-464.1200080605631,-0.004268275316843747
98,8086.689986614394,0.07436916889032216,-108.6200234824646,-0.0009989230308827667
99,8086.689986614394,0.07436916889032216,-560.5200042627112,-0.005154816981041441
100,8086.689986614394,0.07436916889032216,602.8978196122189,0.005544544163874858
101,7483.792167002175,0.06844512769315059,-625.8778412931279,-0.005724141960609997
102,7483.792167002175,0.06844512769315059,-5.4369172688166145,-4.972485718698347e-05
103,7483.792167002175,0.06844512769315059,-487.997840925178,-0.00446312160877194
104,7483.792167002175,0.06844512769315059,-723.8578251135914,-0.006620245480632095
105,7483.792167002175,0.06844512769315059,-614.7078260916169,-0.005621983442609876
106,7483.792167002175,0.06844512769315059,-180.087850800046,-0.0016470441280214958
