iteration,hub upper bound,hub lower bound,spoke bound
218,116823.82,113133.2499947804,112772.62000165207
219,116823.82,113133.2499947804,112841.31999258192
220,116823.82,113133.2499947804,112764.69000369185
221,116823.82,113133.2499947804,112721.94545145749
222,116823.82,113133.2499947804,112412.59000256003
223,116823.82,113133.2499947804,112841.56923682745
224,116823.82,113133.2499947804,112429.92077037135
225,116823.82,113133.2499947804,112678.40000349762
226,116823.82,113133.2499947804,112459.44999834105
227,116823.82,113133.2499947804,112914.4999740237
228,116823.82,113133.2499947804,112619.20999771166
229,116823.82,113133.2499947804,113537.7900034199
230,116823.82,113537.7900034199,113218.37999950074
231,116823.82,113537.7900034199,113565.08000626841
232,116823.82,113565.08000626841,113060.3899987818
233,116823.82,113565.08000626841,113520.14000666175
234,116823.82,113565.08000626841,113141.89999821901
235,116823.82,113565.08000626841,113362.3300140772
236,116823.82,113565.08000626841,113399.55001124735
237,116823.82,113565.08000626841,113481.10001214515
238,116823.82,113565.08000626841,113465.72001133277
239,116823.82,113565.08000626841,113375.18454217375
240,116823.82,113565.08000626841,113450.62001153958
241,116823.82,113565.08000626841,113567.7000041943
242,116823.82,113567.7000041943,113014.19000710249
243,116823.82,113567.7000041943,113246.16000191108
244,116823.82,113567.7000041943,113006.96000683594
245,116823.82,113567.7000041943,113293.22000218404
246,116823.82,113567.7000041943,112982.9200076925
247,116823.82,113567.7000041943,113232.55000304109
248,116823.82,113567.7000041943,112992.02000753093
249,116823.82,113567.7000041943,113274.75000363067
250,116823.82,113567.7000041943,113075.58000633966
251,116823.82,113567.7000041943,113214.8700030782
252,116823.82,113567.7000041943,113078.33000621288
253,116823.82,113567.7000041943,113267.2500038163
254,116823.82,113567.7000041943,113157.12000048252
255,116823.82,113567.7000041943,113199.30818565593
256,116823.82,113567.7000041943,113364.44000008525
257,116823.82,113567.7000041943,113211.97000385344
258,116823.82,113567.7000041943,113211.79001045976
259,116823.82,113567.7000041943,113330.04000356162
260,116823.82,113567.7000041943,113227.17001006629
261,116823.82,113567.7000041943,113357.20000332974
262,116823.82,113567.7000041943,113138.89000071606
263,116823.82,113567.7000041943,113356.80615733135
264,116823.82,113567.7000041943,113147.27001021428
265,116823.82,113567.7000041943,113345.72615736848
