iteration,hub upper bound,hub lower bound,spoke bound
218,116823.82,106481.86999999982,103122.91999999975
219,116823.82,106481.86999999982,105173.60999999977
220,116823.82,106481.86999999982,103803.68999999974
221,116823.82,106481.86999999982,104434.66999999975
222,116823.82,106481.86999999982,103215.40999999974
223,116823.82,106481.86999999982,104379.90999999974
224,116823.82,106481.86999999982,104382.64999999975
225,116823.82,106481.86999999982,104034.64999999973
226,116823.82,106481.86999999982,104015.90999999974
227,116823.82,106481.86999999982,104368.64999999973
228,116823.82,106481.86999999982,103867.34999999974
229,116823.82,106481.86999999982,103537.66999999974
230,116823.82,106481.86999999982,103688.40999999974
231,116823.82,106481.86999999982,104898.92999999973
232,116823.82,106481.86999999982,103871.35999999972
233,116823.82,106481.86999999982,103869.51999999973
234,116823.82,106481.86999999982,101760.93999999975
235,116823.82,106481.86999999982,103895.81999999973
236,116823.82,106481.86999999982,105291.49999999974
237,116823.82,106481.86999999982,103991.88999999972
238,116823.82,106481.86999999982,104454.94999999972
239,116823.82,106481.86999999982,103713.70999999972
240,116823.82,106481.86999999982,103933.67999999976
241,116823.82,106481.86999999982,104085.74999999971
242,116823.82,106481.86999999982,103592.34999999971
243,116823.82,106481.86999999982,102127.29999999977
244,116823.82,106481.86999999982,104072.01999999971
245,116823.82,106481.86999999982,103807.2699999997
246,116823.82,106481.86999999982,102737.30999999972
247,116823.82,106481.86999999982,102928.07999999971
248,116823.82,106481.86999999982,103647.3999999997
249,116823.82,106481.86999999982,103104.5199999997
250,116823.82,106481.86999999982,104416.8999999997
251,116823.82,106481.86999999982,103618.38999999971
252,116823.82,106481.86999999982,103243.09999999974
253,116823.82,106481.86999999982,104486.90336648619
254,116823.82,106481.86999999982,103888.1599999997
255,116823.82,106481.86999999982,104701.30999999969
256,116823.82,106481.86999999982,103801.3399999997
257,116823.82,106481.86999999982,103995.5199999997
258,116823.82,106481.86999999982,104227.88336648606
259,116823.82,106481.86999999982,104049.58999999968
260,116823.82,106481.86999999982,104352.45999999969
261,116823.82,106481.86999999982,103458.76999999968
262,116823.82,106481.86999999982,103768.8599999997
263,116823.82,106481.86999999982,104449.03336648631
264,116823.82,106481.86999999982,104346.46346347553
265,116823.82,106481.86999999982,103354.96999999968
266,116823.82,106481.86999999982,102836.07999999968
267,116823.82,106481.86999999982,104098.91999999969
268,116823.82,106481.86999999982,103572.89336648601
269,116823.82,106481.86999999982,104451.7980859457
270,116823.82,106481.86999999982,104436.4580859457
271,116823.82,106481.86999999982,104016.45808594559
272,116823.82,106481.86999999982,103988.6980859456
273,116823.82,106481.86999999982,103988.6980859456
274,116823.82,106481.86999999982,103988.6980859456
275,116823.82,106481.86999999982,103988.6980859456
276,116823.82,106481.86999999982,103988.6980859456
277,116823.82,106481.86999999982,103988.6980859456
278,116823.82,106481.86999999982,103988.6980859456
279,116823.82,106481.86999999982,103988.6980859456
280,116823.82,106481.86999999982,103988.6980859456
281,116823.82,106481.86999999982,103988.6980859456
282,116823.82,106481.86999999982,103988.6980859456
283,116823.82,106481.86999999982,103988.6980859456
284,116823.82,106481.86999999982,103988.6980859456
285,116823.82,106481.86999999982,103988.6980859456
286,116823.82,106481.86999999982,103988.6980859456
287,116823.82,106481.86999999982,103988.6980859456
288,116823.82,106481.86999999982,103988.6980859456
289,116823.82,106481.86999999982,103988.6980859456
290,116823.82,106481.86999999982,103988.6980859456
