iteration,hub upper bound,hub lower bound
301,116823.82,113567.7000041943
302,116823.82,113567.7000041943
303,116823.82,113567.7000041943
304,116823.82,113567.7000041943
305,116823.82,113567.7000041943
306,116823.82,113567.7000041943
307,116823.82,113567.7000041943
308,116823.82,113567.7000041943
309,116823.82,113567.7000041943
310,116823.82,113567.7000041943
311,116823.82,113567.7000041943
312,116823.82,113567.7000041943
313,116823.82,113567.7000041943
314,116823.82,113567.7000041943
315,116823.82,113567.7000041943
316,116823.82,113567.7000041943
317,116823.82,113567.7000041943
318,116823.82,113684.73000267784
319,116823.82,113684.73000267784
320,116823.82,113731.60001315254
321,116823.82,113731.60001315254
322,116823.82,113731.60001315254
323,116823.82,113731.60001315254
324,116823.82,113731.60001315254
325,116823.82,113731.60001315254
326,116823.82,113731.60001315254
327,116823.82,113731.60001315254
328,116823.82,113731.60001315254
329,116823.82,114140.42000448117
330,116823.82,114140.42000448117
331,116823.82,114140.42000448117
332,116823.82,114140.42000448117
333,116823.82,114140.42000448117
334,116823.82,114140.42000448117
335,116823.82,114140.42000448117
336,116823.82,114140.42000448117
337,116823.82,114140.42000448117
338,116823.82,114140.42000448117
339,116823.82,114140.42000448117
340,116823.82,114140.42000448117
341,116823.82,114140.42000448117
342,116823.82,114140.42000448117
343,116823.82,114140.42000448117
344,116823.82,114257.48999607589
345,116823.82,114257.48999607589
346,116823.82,114257.48999607589
347,116823.82,114321.1566621081
348,116823.82,114321.1566621081
349,116823.82,114321.1566621081
350,116823.82,114321.1566621081
351,116823.82,114321.1566621081
352,116823.82,114321.1566621081
353,116823.82,114321.1566621081
354,116823.82,114321.1566621081
355,116823.82,114321.1566621081
356,116823.82,114321.1566621081
357,116823.82,114321.1566621081
358,116823.82,114321.1566621081
359,116823.82,114321.1566621081
360,116823.82,114321.1566621081
361,116823.82,114321.1566621081
362,116823.82,114321.1566621081
363,116823.82,114321.1566621081
364,116823.82,114321.1566621081
365,116823.82,114321.1566621081
366,116823.82,114321.1566621081
367,116823.82,114321.1566621081
368,116823.82,114321.1566621081
369,116823.82,114321.1566621081
370,116823.82,114321.1566621081
371,116823.82,114321.1566621081
372,116823.82,114321.1566621081
373,116823.82,114321.1566621081
374,116823.82,114321.1566621081
375,116823.82,114321.1566621081
376,116823.82,114321.1566621081
377,116823.82,114321.1566621081
378,116823.82,114321.1566621081
379,116823.82,114321.1566621081
380,116823.82,114321.1566621081
381,116823.82,114321.1566621081
382,116823.82,114321.1566621081
383,116823.82,114321.1566621081
384,116823.82,114321.1566621081
385,116823.82,114321.1566621081
386,116823.82,114321.1566621081
387,116823.82,114321.1566621081
388,116823.82,114321.1566621081
389,116823.82,114321.1566621081
390,116823.82,114321.1566621081
391,116823.82,114321.1566621081
392,116823.82,114321.1566621081
393,116823.82,114321.1566621081
394,116823.82,114321.1566621081
395,116823.82,114321.1566621081
396,116823.82,114321.1566621081
397,116823.82,114321.1566621081
398,116823.82,114321.1566621081
399,116823.82,114321.1566621081
400,116823.82,114321.1566621081
401,116823.82,114321.1566621081
402,116823.82,114321.1566621081
403,116823.82,114321.1566621081
404,116823.82,114321.1566621081
405,116823.82,114321.1566621081
406,116823.82,114321.1566621081
407,116823.82,114321.1566621081
408,116823.82,114321.1566621081
409,116823.82,114321.1566621081
410,116823.82,114321.1566621081
411,116823.82,114321.1566621081
412,116823.82,114321.1566621081
413,116823.82,114321.1566621081
414,116823.82,114321.1566621081
415,116823.82,114321.1566621081
416,116823.82,114321.1566621081
417,116823.82,114321.1566621081
418,116823.82,114321.1566621081
419,116823.82,114321.1566621081
420,116823.82,114321.1566621081
421,116823.82,114321.1566621081
422,116823.82,114321.1566621081
423,116823.82,114321.1566621081
424,116823.82,114321.1566621081
425,116823.82,114321.1566621081
426,116823.82,114321.1566621081
427,116823.82,114321.1566621081
428,116823.82,114321.1566621081
429,116823.82,114321.1566621081
430,116823.82,114321.1566621081
431,116823.82,114321.1566621081
432,116823.82,114321.1566621081
433,116823.82,114321.1566621081
434,116823.82,114321.1566621081
435,116823.82,114321.1566621081
436,116823.82,114321.1566621081
437,116823.82,114321.1566621081
438,116823.82,114321.1566621081
439,116823.82,114321.1566621081
440,116823.82,114321.1566621081
441,116823.82,114321.1566621081
442,116823.82,114321.1566621081
443,116823.82,114499.19000579728
444,116823.82,114499.19000579728
445,116823.82,114499.19000579728
446,116823.82,114499.19000579728
447,116823.82,114499.19000579728
448,116823.82,114499.19000579728
449,116823.82,114698.23999719955
450,116823.82,114698.23999719955
451,116823.82,114698.23999719955
452,116823.82,114698.23999719955
453,116823.82,114746.24999546238
454,116823.82,114746.24999546238
455,116823.82,114765.31000404045
456,116823.82,114765.31000404045
457,116823.82,114765.31000404045
458,116823.82,114765.31000404045
459,116823.82,114765.31000404045
460,116823.82,114765.31000404045
461,116823.82,114765.31000404045
462,116823.82,114765.31000404045
463,116823.82,114765.31000404045
464,116823.82,114765.31000404045
465,116823.82,114770.73999696688
466,116823.82,114770.73999696688
467,116823.82,114770.73999696688
468,116823.82,114783.90999726093
469,116823.82,114783.90999726093
470,116823.82,114783.90999726093
471,116823.82,114783.90999726093
472,116823.82,114794.65997917706
473,116823.82,114794.65997917706
474,116823.82,114794.65997917706
475,116823.82,114794.65997917706
476,116823.82,114794.65997917706
477,116823.82,114858.44190288836
478,116823.82,114858.44190288836
479,116823.82,114858.44190288836
480,116823.82,114858.44190288836
481,116823.82,114858.44190288836
482,116823.82,114858.44190288836
483,116823.82,114858.44190288836
484,116823.82,114858.44190288836
485,116823.82,114858.44190288836
486,116823.82,114859.03413962036
487,116823.82,114859.03413962036
488,116823.82,114859.03413962036
489,116823.82,114859.03413962036
490,116823.82,114859.03413962036
491,116823.82,114859.03413962036
492,116823.82,114859.03413962036
493,116823.82,114859.03413962036
494,116823.82,114859.03413962036
495,116823.82,114859.03413962036
496,116823.82,114859.03413962036
497,116823.82,114859.03413962036
498,116823.82,114859.03413962036
499,116823.82,114859.03413962036
500,116823.82,114859.03413962036
