iteration,hub upper bound,hub lower bound
281,116823.82,110736.95285662089
282,116823.82,110759.20806577671
283,116823.82,110817.76661974819
284,116823.82,110817.76661974819
285,116823.82,110817.76661974819
286,116823.82,110817.76661974819
287,116823.82,110817.76661974819
288,116823.82,110825.36196773621
289,116823.82,110836.8918167673
290,116823.82,110836.8918167673
291,116823.82,110839.25727026412
292,116823.82,110842.3575929515
293,116823.82,110842.3575929515
294,116823.82,110854.96628257705
295,116823.82,110854.96628257705
296,116823.82,110855.62728951997
297,116823.82,110921.25750019972
298,116823.82,110921.25750019972
299,116823.82,111025.61000028776
300,116823.82,111025.61000028776
301,116823.82,111076.95343315658
302,116823.82,111076.95343315658
303,116823.82,111076.95343315658
304,116823.82,111076.95343315658
305,116823.82,111082.92340007144
306,116823.82,111082.92340007144
307,116823.82,111082.92340007144
308,116823.82,111177.62519667353
309,116823.82,111177.62519667353
310,116823.82,111241.16427522346
311,116823.82,111374.14999749417
312,116823.82,111374.14999749417
313,116823.82,111377.18882387869
314,116823.82,111389.57846781825
315,116823.82,111395.9654904862
316,116823.82,111411.8816736582
317,116823.82,111411.8816736582
318,116823.82,111423.06000673569
319,116823.82,111423.06000673569
320,116823.82,111424.26077625013
321,116823.82,111435.47334014646
322,116823.82,111437.6974357508
323,116823.82,111447.97834056565
324,116823.82,111449.52000701912
325,116823.82,111469.70487832013
326,116823.82,111471.8700065876
327,116823.82,111473.7033396805
328,116823.82,111480.73667322531
329,116823.82,111487.97000648179
330,116823.82,111490.10333989198
331,116823.82,111517.8455627992
332,116823.82,111517.8455627992
333,116823.82,111517.8455627992
334,116823.82,111517.8455627992
335,116823.82,111517.8455627992
336,116823.82,111517.8455627992
337,116823.82,111636.6199923467
338,116823.82,111636.6199923467
339,116823.82,111636.6199923467
340,116823.82,111793.91001356875
341,116823.82,111793.91001356875
342,116823.82,111858.0878368535
343,116823.82,111858.0878368535
344,116823.82,111858.0878368535
345,116823.82,112015.56324685835
346,116823.82,112015.56324685835
347,116823.82,112015.56324685835
348,116823.82,112015.56324685835
349,116823.82,112015.56324685835
350,116823.82,112057.97999210942
351,116823.82,112100.78714215038
352,116823.82,112100.78714215038
353,116823.82,112301.35165849747
354,116823.82,112301.35165849747
355,116823.82,112301.9828510963
356,116823.82,112301.9828510963
357,116823.82,112332.94999371767
358,116823.82,112332.94999371767
359,116823.82,112332.94999371767
360,116823.82,112332.94999371767
361,116823.82,112369.58667286226
362,116823.82,112369.58667286226
363,116823.82,112384.73999304844
364,116823.82,112384.73999304844
365,116823.82,112397.37999370621
366,116823.82,112397.37999370621
367,116823.82,112406.91955933026
368,116823.82,112406.91955933026
369,116823.82,112422.69408730142
370,116823.82,112422.69408730142
371,116823.82,112429.36055426483
372,116823.82,112429.36055426483
373,116823.82,112437.07408762397
374,116823.82,112437.07408762397
375,116823.82,112443.87408762396
376,116823.82,112443.87408762396
377,116823.82,112471.27999352459
378,116823.82,112471.27999352459
379,116823.82,112477.9935156604
380,116823.82,112477.9935156604
381,116823.82,112485.50999263042
382,116823.82,112485.50999263042
383,116823.82,112492.7581135683
384,116823.82,112492.7581135683
385,116823.82,112492.7581135683
386,116823.82,112492.7581135683
387,116823.82,112492.7581135683
388,116823.82,112492.7581135683
389,116823.82,112492.7581135683
390,116823.82,112492.7581135683
391,116823.82,112537.23641690414
392,116823.82,112537.23641690414
393,116823.82,112563.51605319632
394,116823.82,112673.19000289189
395,116823.82,112712.11678868107
396,116823.82,112771.02001921229
397,116823.82,112808.03770605255
398,116823.82,112808.03770605255
399,116823.82,112808.03770605255
400,116823.82,112808.03770605255
401,116823.82,112808.03770605255
402,116823.82,112837.74000429569
403,116823.82,112925.40188721045
404,116823.82,112958.23145089035
405,116823.82,112967.15075499454
406,116823.82,113024.89165939046
407,116823.82,113024.89165939046
408,116823.82,113094.65000267216
409,116823.82,113094.65000267216
410,116823.82,113094.65000267216
411,116823.82,113094.65000267216
412,116823.82,113223.75599089905
413,116823.82,113223.75599089905
414,116823.82,113234.7699905815
415,116823.82,113234.7699905815
416,116823.82,113234.7699905815
417,116823.82,113265.72441191992
418,116823.82,113285.15001808063
419,116823.82,113285.15001808063
420,116823.82,113285.15001808063
421,116823.82,113285.15001808063
422,116823.82,113285.15001808063
423,116823.82,113285.15001808063
424,116823.82,113285.15001808063
425,116823.82,113285.15001808063
426,116823.82,113285.15001808063
427,116823.82,113285.15001808063
428,116823.82,113285.15001808063
429,116823.82,113285.15001808063
430,116823.82,113373.14434449276
431,116823.82,113511.08901307645
432,116823.82,113556.50166405157
433,116823.82,113556.50166405157
434,116823.82,113763.30728941882
435,116823.82,113763.30728941882
