iteration,hub upper bound,hub lower bound
187,59228.05,56820.92913716132
188,59228.05,56820.92913716132
189,59228.05,56820.92913716132
190,59228.05,56820.92913716132
191,59228.05,56820.92913716132
192,59228.05,56820.92913716132
193,59228.05,56820.92913716132
194,59228.05,56820.92913716132
195,59228.05,56820.92913716132
196,59228.05,56820.92913716132
197,59228.05,56820.92913716132
198,59228.05,56880.670008194444
199,59228.05,56880.670008194444
200,59228.05,56880.670008194444
